dataset,role,method,K,mean_fitness,best_fitness,mean_hidden_percentile,top1pct_count,top1pct_enrichment_x,top0.1pct_count,normalized_best_regret
TRPB,primary prospective confirmation,B2_ADDITIVE,10,0.3387998221048876,0.5546431643903595,0.9877145791558665,4,40.0,0,0.3825857401522412
TRPB,primary prospective confirmation,B2_ADDITIVE,50,0.357030186951939,0.742180293379264,0.9687681741645647,25,50.0,5,0.22148114814113973
TRPB,primary prospective confirmation,B2_ADDITIVE,100,0.3589673148579074,0.742180293379264,0.9674982707906854,54,54.0,9,0.22148114814113973
TRPB,primary prospective confirmation,B3_RAW_PAIR,10,0.4260433004763639,0.6276899731422317,0.992445975308987,7,70.0,1,0.319834559172076
TRPB,primary prospective confirmation,B3_RAW_PAIR,50,0.4559245803559587,0.9320335258848317,0.9608219158940535,34,68.0,12,0.0583868972602493
TRPB,primary prospective confirmation,B3_RAW_PAIR,100,0.424310462950605,0.9320335258848317,0.9485204954970683,64,64.0,20,0.0583868972602493
TRPB,primary prospective confirmation,B5_LIGHTNING,10,0.430695139116704,0.7355625912416567,0.9917976091497879,6,60.0,2,0.22716611414588905
TRPB,primary prospective confirmation,B5_LIGHTNING,50,0.40116279243226605,0.80047839908962,0.9900329073772611,30,60.0,4,0.17139990510343348
TRPB,primary prospective confirmation,B5_LIGHTNING,100,0.37701390991948386,0.8824664500265383,0.9883463868258707,59,58.99999999999999,6,0.10096771086439767
TRPB,primary prospective confirmation,HAMMING1_MEAN,10,0.17035615589020867,0.56430706010365,0.8340392233579499,3,30.0,0,0.37428392821493894
TRPB,primary prospective confirmation,HAMMING1_MEAN,50,0.2596288939098551,1.0,0.85073870424582,18,36.0,7,0.0
TRPB,primary prospective confirmation,HAMMING1_MEAN,100,0.2590023315012324,1.0,0.8669416400589679,37,37.0,12,0.0
TRPB,primary prospective confirmation,SHUFFLED_B5,10,0.00807249780836566,0.09629966893452109,0.3807753844434042,0,0.0,0,0.7763277273228126
TRPB,primary prospective confirmation,RANDOM_HASH,10,0.013655249009362403,0.043527311556775264,0.5331973254895934,0,0.0,0,0.8216620520543638
GB1,replication/development; schema inspected before preregistration,B2_ADDITIVE,10,1.2589518168027,2.74706776264,0.9763755851772464,2,20.0,0,0.6864781407982591
GB1,replication/development; schema inspected before preregistration,B2_ADDITIVE,50,1.9014500199994944,7.22866005298,0.9763685890995157,16,32.0,7,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,B2_ADDITIVE,100,1.9112867419563861,7.22866005298,0.9719041983909028,35,35.0,12,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,B3_RAW_PAIR,10,5.432501104799999,7.22866005298,0.9990786016775701,10,100.0,8,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,B3_RAW_PAIR,50,4.257473993705883,7.55466318627,0.9949704155223613,45,90.0,23,0.13778899814030027
GB1,replication/development; schema inspected before preregistration,B3_RAW_PAIR,100,3.9989753178261993,7.55466318627,0.9934123741264205,90,90.0,36,0.13778899814030027
GB1,replication/development; schema inspected before preregistration,B5_LIGHTNING,10,4.886151621564999,7.22866005298,0.997248457513713,9,90.0,6,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,B5_LIGHTNING,50,3.9282311824663996,7.22866005298,0.9953886916590378,41,82.0,17,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,B5_LIGHTNING,100,3.582941999045779,7.22866005298,0.9942523500122807,79,79.0,26,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,HAMMING1_MEAN,10,4.684896767541,7.22866005298,0.9950275749659498,9,90.0,6,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,HAMMING1_MEAN,50,3.5851862335285434,7.22866005298,0.9827369549199544,40,80.0,16,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,HAMMING1_MEAN,100,3.4851348430879714,7.22866005298,0.9830972529230951,81,81.0,27,0.17499561890325094
GB1,replication/development; schema inspected before preregistration,SHUFFLED_B5,10,0.0024648355928354,0.00551845640559,0.39940979897440476,0,0.0,0,0.9993701805482434
GB1,replication/development; schema inspected before preregistration,RANDOM_HASH,10,0.004296008943629,0.0168666667576,0.44677845505764324,0,0.0,0,0.998075013367964
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B2_ADDITIVE,10,18.5651066703,31.34309,0.9761097359409723,7,70.0,0,0.7653859705210411
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B2_ADDITIVE,50,16.87320090798,60.83268,0.9755193002712556,28,56.00000000000001,2,0.5446460390853589
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B2_ADDITIVE,100,17.94859311432,133.59427,0.9794020514199404,53,53.0,6,0.0
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B3_RAW_PAIR,10,20.4427381507,31.34309,0.9848879785526181,7,70.0,0,0.7653859705210411
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B3_RAW_PAIR,50,19.4413867276,60.83268,0.9824830564100944,31,62.0,4,0.5446460390853589
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B3_RAW_PAIR,100,18.4223990374,73.12595,0.9820114828903357,61,61.0,6,0.4526265984312051
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B5_LIGHTNING,10,21.763113624,30.04881,0.9960070858607027,10,100.0,0,0.7750741105887251
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B5_LIGHTNING,50,18.25731421506,51.55008,0.9876940110242074,31,62.0,4,0.6141295581015562
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,B5_LIGHTNING,100,17.03048573836,51.55008,0.9860881462091434,56,56.00000000000001,6,0.6141295581015562
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,HAMMING1_MEAN,10,8.299343916999998,29.46583,0.9027774043290178,2,20.0,0,0.7794379205036264
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,HAMMING1_MEAN,50,14.99537962678,87.87471,0.9469224746735834,22,44.0,4,0.3422269532967245
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,HAMMING1_MEAN,100,12.3998656438,87.87471,0.9477713544591099,35,35.0,4,0.3422269532967245
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,SHUFFLED_B5,10,1.8676089504,13.22500333,0.7423482985235154,0,0.0,0,0.9010062083501037
PHOQ,fresh prospective third landscape; source mirror amended before outcomes,RANDOM_HASH,10,0.1265238889,1.263393333,0.6667209705098498,0,0.0,0,0.990543057475444
TEV,fresh prospective fourth landscape,B2_ADDITIVE,10,0.418571614,0.4802284,0.9958239655918785,10,100.0,0,0.29881726208006487
TEV,fresh prospective fourth landscape,B2_ADDITIVE,50,0.4039503704,0.5171237,0.9947140802390696,45,90.0,0,0.2832029513367743
TEV,fresh prospective fourth landscape,B2_ADDITIVE,100,0.3868635461,0.5171237,0.9930980575609891,85,85.0,0,0.2832029513367743
TEV,fresh prospective fourth landscape,B3_RAW_PAIR,10,0.424312831,0.4802284,0.9961248970130286,10,100.0,0,0.29881726208006487
TEV,fresh prospective fourth landscape,B3_RAW_PAIR,50,0.4134500824,0.5171237,0.995344709611652,46,92.0,0,0.2832029513367743
TEV,fresh prospective fourth landscape,B3_RAW_PAIR,100,0.4045899369,0.5227832,0.9945622180949854,91,91.0,0,0.28080781722344134
TEV,fresh prospective fourth landscape,B5_LIGHTNING,10,0.383491126,0.4513302,0.9934339696415355,8,80.0,0,0.31104715246506676
TEV,fresh prospective fourth landscape,B5_LIGHTNING,50,0.31084155448,0.5025483,0.976325704151597,31,62.0,0,0.28937134744163745
TEV,fresh prospective fourth landscape,B5_LIGHTNING,100,0.26462018817,0.5025483,0.9330296323190573,49,49.0,0,0.28937134744163745
TEV,fresh prospective fourth landscape,HAMMING1_MEAN,10,-0.061650872,0.43513542,0.44103280222312213,1,10.0,0,0.3179008798324883
