landscape,condition,policy,batch_size,final_best_true_fitness,final_regret,final_top1_hits,acquired_top1_hits_after_bootstrap,first_top1_measurement,post_bootstrap_normalized_discovery_auc,final_scoreable_coverage,final_router_mode,final_visible_b3_oof_spearman,pressure_initial,pressure_final,pressure_mean
GB1,deterministic_random_micro_8,deterministic_random,8,3.89696668768,1.1763009707799998,3,3,136,0.4921342482746061,0.9324776785714286,GLOBAL_HIGHER_ORDER,0.06499645833173469,,,
GB1,historical_50_50_micro_8,historical_50_50,8,4.09531131056,0.9779563479000002,3,3,120,0.5762580666780788,0.5357142857142857,B3_PROTECTED_NO_HIGHER_ORDER,0.21478622996050487,,,
GB1,relative_evidence_v2_micro_8,relative_evidence_v2,8,3.08935048197,1.9839171764899999,3,3,120,0.5060315741205962,0.5357142857142857,B3_PROTECTED_NO_HIGHER_ORDER,0.2642610943245396,0.5,0.4658231204939203,0.47808551920179293
GB1,historical_50_50_micro_16,historical_50_50,16,4.37486173455,0.6984059239100002,2,2,96,0.7810515315246352,0.53515625,GLOBAL_HIGHER_ORDER,0.15116212810619267,,,
GB1,relative_evidence_v2_micro_16,relative_evidence_v2,16,4.37486173455,0.6984059239100002,2,2,96,0.7810515315246352,0.5345982142857143,B3_PROTECTED_NO_HIGHER_ORDER,0.16456405128347942,0.5,0.46699576060717185,0.48023136029337815
TRPB,deterministic_random_micro_8,deterministic_random,8,0.5463663326819899,0.04219242871960982,2,2,96,0.659724035859467,0.9330357142857143,GLOBAL_HIGHER_ORDER,0.09829766536964979,,,
TRPB,historical_50_50_micro_8,historical_50_50,8,0.5885587614015997,0.0,5,5,96,0.8828171197387183,0.5792410714285714,B3_PROTECTED_NO_HIGHER_ORDER,0.2625257495994506,,,
TRPB,relative_evidence_v2_micro_8,relative_evidence_v2,8,0.5885587614015997,0.0,5,5,96,0.8828171197387183,0.5803571428571429,GLOBAL_HIGHER_ORDER,0.23279712176699469,0.5,0.4623375100418652,0.47674572449904273
TRPB,historical_50_50_micro_16,historical_50_50,16,0.5885587614015997,0.0,3,3,144,0.7919071598443082,0.5809151785714286,B3_PROTECTED_NO_HIGHER_ORDER,0.0905148489356832,,,
TRPB,relative_evidence_v2_micro_16,relative_evidence_v2,16,0.5885587614015997,0.0,3,3,144,0.7919071598443082,0.5797991071428571,GLOBAL_HIGHER_ORDER,0.09140464065003431,0.5,0.46274705418252016,0.47744755779506787
PHOQ,deterministic_random_micro_8,deterministic_random,8,22.807309,13.004764329999997,4,3,64,0.5655678372017433,0.9380580357142857,GLOBAL_HIGHER_ORDER,0.11177889683813665,,,
PHOQ,historical_50_50_micro_8,historical_50_50,8,15.194105,20.617968329999997,2,1,64,0.40000429812799676,0.6160714285714286,B3_PROTECTED_NO_HIGHER_ORDER,0.3755287801705794,,,
PHOQ,relative_evidence_v2_micro_8,relative_evidence_v2,8,15.194105,20.617968329999997,3,2,64,0.40000429812799676,0.6166294642857143,GLOBAL_HIGHER_ORDER,0.34683936166688717,0.5,0.4579410542154413,0.47368588569845066
PHOQ,historical_50_50_micro_16,historical_50_50,16,27.17382,8.638253329999998,3,2,64,0.4470946709426388,0.61328125,B3_PROTECTED_NO_HIGHER_ORDER,0.3031189205288251,,,
PHOQ,relative_evidence_v2_micro_16,relative_evidence_v2,16,27.17382,8.638253329999998,3,2,64,0.4749710123690103,0.6127232142857143,B3_PROTECTED_NO_HIGHER_ORDER,0.322328858337883,0.5,0.4596880073136194,0.47572517507944934
